"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","playerid"
"Max Fried","Braves","7","0","0","11","11","56.0","8.04","3.05","0.32",".268","82.0%","53.0%","4.9%","83.4","2.25","3.10","4.05","1.5","13743"
"Zach Eflin","Phillies","4","2","0","11","10","59.0","10.68","2.29","1.22",".344","74.1%","47.4%","16.3%","87.4","3.97","3.39","3.23","1.5","13774"
"Carlos Carrasco","Indians","3","4","0","12","12","68.0","10.85","3.57","1.06",".292","85.2%","44.3%","14.3%","88.0","2.91","3.59","3.65","1.5","6632"
"Zach Plesac","Indians","4","2","0","8","8","55.1","9.27","0.98","1.30",".224","91.7%","39.3%","14.0%","87.8","2.28","3.39","3.50","1.5","19979"
"Zac Gallen","Diamondbacks","3","2","0","12","12","72.0","10.25","3.13","1.13",".266","83.6%","45.6%","15.3%","87.0","2.75","3.66","3.62","1.5","19291"
"Gerrit Cole","Yankees","7","3","0","12","12","73.0","11.59","2.10","1.73",".242","85.9%","37.4%","18.7%","90.4","2.84","3.89","3.38","1.4","13125"
"Devin Williams","Brewers","4","1","0","22","0","27.0","17.67","3.00","0.33",".194","84.3%","61.1%","10.0%","83.7","0.33","0.86","1.09","1.4","15816"
"Spencer Turnbull","Tigers","4","4","0","11","11","56.2","8.10","4.61","0.32",".285","70.5%","50.0%","4.5%","91.1","3.97","3.49","4.53","1.4","16207"
"Liam Hendriks","Athletics","3","1","14","24","0","25.1","13.14","1.07","0.36",".255","70.5%","32.0%","5.3%","90.2","1.78","1.14","2.07","1.4","3548"
"Andrew Heaney","Angels","4","3","0","12","12","66.2","9.45","2.57","1.22",".302","68.6%","39.0%","12.3%","88.6","4.46","3.79","4.15","1.4","15423"
"Clayton Kershaw","Dodgers","6","2","0","10","10","58.1","9.57","1.23","1.23",".232","82.5%","53.0%","17.4%","87.8","2.16","3.31","3.05","1.4","2036"
"Zach Davies","Padres","7","4","0","12","12","69.1","8.18","2.47","1.17",".249","78.2%","41.3%","12.9%","87.5","2.73","3.88","4.14","1.4","13183"
"Chris Bassitt","Athletics","5","2","0","11","11","63.0","7.86","2.43","0.86",".276","85.6%","43.8%","8.6%","88.2","2.29","3.59","4.49","1.3","12304"
"Brad Keller","Royals","5","3","0","9","9","54.2","5.76","2.80","0.33",".233","76.1%","52.8%","5.1%","89.2","2.47","3.43","4.33","1.3","15734"
"Julio Urias","Dodgers","3","0","0","11","10","55.0","7.36","2.95","0.82",".256","76.8%","32.9%","6.9%","87.1","3.27","3.72","5.06","1.2","14765"
"Patrick Corbin","Nationals","2","7","0","11","11","65.2","8.22","2.47","1.37",".362","76.4%","43.7%","15.2%","90.7","4.66","4.17","4.12","1.2","9323"
"Aaron Civale","Indians","4","6","0","12","12","74.0","8.39","1.95","1.34",".333","72.4%","44.2%","15.7%","87.1","4.74","4.03","3.92","1.2","19479"
